"Font File","Plane","Block range","Block name","Code points[a]","Assigned characters","Scripts[b][c][d][e][f]","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10100..U+1013F","Aegean Numbers","64","57","Common","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10140..U+1018F","Ancient Greek Numbers","80","79","Greek","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10190..U+101CF","Ancient Symbols","64","14","Greek (1 character), Common (13 characters)","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+101D0..U+101FF","Phaistos Disc","48","46","Common (45 characters), Inherited (1 character)","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10280..U+1029F","Lycian","32","29","Lycian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+102A0..U+102DF","Carian","64","49","Carian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+102E0..U+102FF","Coptic Epact Numbers","32","28","Common (27 characters), Inherited (1 character)","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10300..U+1032F","Old Italic","48","39","Old Italic","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10330..U+1034F","Gothic","32","27","Gothic","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10350..U+1037F","Old Permic","48","43","Old Permic","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10380..U+1039F","Ugaritic","32","31","Ugaritic","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+103A0..U+103DF","Old Persian","64","50","Old Persian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10400..U+1044F","Deseret","80","80","Deseret","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10450..U+1047F","Shavian","48","48","Shavian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10480..U+104AF","Osmanya","48","40","Osmanya","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+104B0..U+104FF","Osage","80","72","Osage","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10500..U+1052F","Elbasan","48","40","Elbasan","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10530..U+1056F","Caucasian Albanian","64","53","Caucasian Albanian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10600..U+1077F","Linear A","384","341","Linear A","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10800..U+1083F","Cypriot Syllabary","64","55","Cypriot","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10840..U+1085F","Imperial Aramaic","32","31","Imperial Aramaic","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10860..U+1087F","Palmyrene","32","32","Palmyrene","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10880..U+108AF","Nabataean","48","40","Nabataean","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+108E0..U+108FF","Hatran","32","26","Hatran","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10900..U+1091F","Phoenician","32","29","Phoenician","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10920..U+1093F","Lydian","32","27","Lydian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10980..U+1099F","Meroitic Hieroglyphs","32","32","Meroitic Hieroglyphs","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+109A0..U+109FF","Meroitic Cursive","96","90","Meroitic Cursive","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10A00..U+10A5F","Kharoshthi","96","68","Kharoshthi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10A60..U+10A7F","Old South Arabian","32","32","Old South Arabian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10A80..U+10A9F","Old North Arabian","32","32","Old North Arabian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10AC0..U+10AFF","Manichaean","64","51","Manichaean","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10B00..U+10B3F","Avestan","64","61","Avestan","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10B40..U+10B5F","Inscriptional Parthian","32","30","Inscriptional Parthian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10B60..U+10B7F","Inscriptional Pahlavi","32","27","Inscriptional Pahlavi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10B80..U+10BAF","Psalter Pahlavi","48","29","Psalter Pahlavi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10C00..U+10C4F","Old Turkic","80","73","Old Turkic","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10C80..U+10CFF","Old Hungarian","128","108","Old Hungarian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10D00..U+10D3F","Hanifi Rohingya","64","50","Hanifi Rohingya","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10E60..U+10E7F","Rumi Numeral Symbols","32","31","Arabic","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10E80..U+10EBF","Yezidi","64","47","Yezidi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10F00..U+10F2F","Old Sogdian","48","40","Old Sogdian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10F30..U+10F6F","Sogdian","64","42","Sogdian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10FB0..U+10FDF","Chorasmian","48","28","Chorasmian","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+10FE0..U+10FFF","Elymaic","32","23","Elymaic","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11000..U+1107F","Brahmi","128","109","Brahmi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11080..U+110CF","Kaithi","80","67","Kaithi","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+110D0..U+110FF","Sora Sompeng","48","35","Sora Sompeng","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11100..U+1114F","Chakma","80","71","Chakma","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11150..U+1117F","Mahajani","48","39","Mahajani","","","","","","","","","","","","","","","","","","","",""
"D","1 SMP","U+11180..U+111DF","Sharada","96","96","Sharada","","","","","","","","","","","","","","","","","","","",""
